Camera_Location,Street
0029E,Owen Dixon Drive
0029D,Owen Dixon Drive
0047A,Chuculba Crescent
0299B,Bacchus Circuit
0089B,Federal Highway
0299A,Bacchus Circuit
0097A,Eastern Valley Way
0053B,Goyder Street
0282A,Chirnside Circuit
0268A,Fornax Street
0308A,Monaro Crescent
0308B,Monaro Crescent
0159A,Arthur Circle
0159C,Arthur Circle
0061T,Barton Highway
0192C,Dunstan Street
0140B,Kootara Crescent
0140C,Kootara Crescent
0286A,Eyre Street
0259A,Plimsoll Drive
0128B,Officer Crescent
0045C,Dryandra Street
0013A,Hindmarsh Drive
0089C,Federal Highway
0177B,Madigan Street
0166B,Beasley Street
0166A,Beasley Street
0227A,Hoskins Street
0107A,Ross Smith Crescent
0030C,Taverner Street
0109B,Ginninderra Drive
0110A,Archdall Street
0106D,William Webb Drive
0105B,Stonehaven Crescent
0081E,William Hovell Drive
0081A,William Hovell Drive
0157D,Tom Roberts Avenue
0183B,Coyne Street
0077F,Yarra Glen
0077A,Yarra Glen
0160C,State Circle
0093A,Southern Cross Drive
0241A,Shumack Street
0199A,Joynton Smith Drive
0298A,Castley Circuit
0213C,Osburn Drive
0254A,Companion Crescent
0015H,Kingsford Smith Drive
0122C,Gungahlin Drive
3008A,Kosciuszko Avenue
3008B,Kosciuszko Avenue
0287A,Weston Street
0079C,Canberra Avenue
0136B,McInnes Street
0309A,Bangalay Crescent
0291A,Schlich Street
0141B,Sturt Avenue
0141C,Sturt Avenue
0182C,Outtrim Avenue
0176B,Hurley Street
0206D,Macarthur Avenue
0206B,Macarthur Avenue
0142D,Sutton Road
0142B,Sutton Road
0296A,Carnegie Crescent
0240A,O'Loghlen Street
0152B,Dixon Drive
0152C,Dixon Drive
0162E,Carruthers Street
0184A,Telopea Park
0099E,Yamba Drive
0018G,Melrose Drive
0052A,Novar Street
0011F,Ginninderra Drive
0011D,Ginninderra Drive
0011E,Ginninderra Drive
0024A,Tuggeranong Parkway
0035C,Mugga Way
0115F,Isabella drive
0086A,Bindubi Street
0118A,Tharwa Drive
0118F,Tharwa Drive
0119J,Horse Park Drive
0119F,Horse Park Drive
0115G,Isabella drive
0096G,Coulter Drive
0096K,Coulter Drive
0010G,Ginninderra Drive
0004R,Belconnen Way
0004Y,Belconnen Way
0061A,Barton Highway
0020E,Monaro Highway
0094E,Southern Cross Drive
0111B,Limestone Avenue
0102I,Fairbairn Avenue
0102H,Fairbairn Avenue
0112A,Copland Drive
0156G,Streeton Drive
0144A,Boddington Crescent
0202A,Anzac Parade
0196G,Anthony Rolfe Avenue
0196A,Anthony Rolfe Avenue
0181F,Majura Avenue
0181C,Majura Avenue
0009A,Florey Drive
0123D,Drake Brockman Drive
0171B,Wentworth Avenue
0018A,Melrose Drive
0018C,Melrose Drive
0044E,Tillyard Drive
0040D,Maribyrnong Avenue
0262C,Heagney Crescent
0243C,Majura Parkway
0243E,Majura Parkway
0243I,Majura Parkway
0072L,Monaro Highway
0188B,Johnson Drive
0119N,Horse Park Drive
0119K,Horse Park Drive
3035A,Murranji Street
3013A,Casey Crescent
0186C,Athllon Drive
0311A,Catchpole Street
0217A,Ratcliffe Crescent
0175E,Sternberg Crescent
0036A,Badimara Street
0050B,Darwinia Terrace
0153D,Warragamba Avenue
0221A,Essie Coffey Street
0297B,Matina Street
0053D,Goyder Street
0215B,Beaurepaire Crescent
0151B,Narrabundah Lane
0139B,Captain Cook Crescent
0002J,Antill Street
0002G,Antill Street
0002A,Antill Street
0002C,Antill Street
0002Q,Antill Street
0002E,Antill Street
0048C,Livingston Avenue
0096F,Coulter Drive
0004V,Belconnen Way
0004K,Belconnen Way
0061Q,Barton Highway
0102G,Fairbairn Avenue
0091F,Ellenborough Street
0016G,Lady Denman Drive
0174C,MacGregor  Street
0045A,Dryandra Street
0024C,Tuggeranong Parkway
0147A,Eucumbene Drive
0095H,Sulwood Drive
0095B,Sulwood Drive
0119M,Horse Park Drive
0068G,Erindale Drive
0078B,Canberra Avenue
0066E,Ginninderra Drive
0065D,Barry Drive
0242A,Murranji Street
0052D,Novar Street
0106B,William Webb Drive
0106A,William Webb Drive
0183C,Coyne Street
0057F,Northbourne Avenue
0168A,Blamey Crescent
0312A,Northcott Drive
0156H,Streeton Drive
0211D,Lachlan Street
0277A,Boldrewood Street
0234A,Nullarbor Avenue
0201C,Gundaroo Drive
0245A,Aikman Drive
0182A,Outtrim Avenue
0182D,Outtrim Avenue
0167B,Hodgson Crescent
0256D,Bugden Avenue
0180C,Spalding Street
0179B,Dumas Street
0031A,Springvale Drive
0032A,Kerrigan Street
0044D,Tillyard Drive
0044A,Tillyard Drive
0015D,Kingsford Smith Drive
0047B,Chuculba Crescent
0097C,Eastern Valley Way
0120D,Kalgoorlie Crescent
0120B,Kalgoorlie Crescent
0109A,Ginninderra Drive
0124C,Starke Street
0209A,Bandjalong Crescent
0170C,Giles Street
0127A,Ebden Street
0127B,Ebden Street
0262B,Heagney Crescent
0146B,Perry Drive
0208A,Miller Street
0243D,Majura Parkway
0254B,Companion Crescent
0087A,Clift Crescent
0159D,Arthur Circle
0128A,Officer Crescent
0054A,Launceston Street
0039B,Longmore Crescent
0235B,Mapleton Avenue
0037H, Namatjira Drive
0272A,Cooyong Street
0153C,Warragamba Avenue
0010H,Ginninderra Drive
0210B,Lyttleton Crescent
0210D,Lyttleton Crescent
0267B,Wilkins Street
0075D,Parkes Way
0004F,Belconnen Way
0227B,Hoskins Street
0018F,Melrose Drive
0293A,Marr Street
0119D,Horse Park Drive
0077C,Yarra Glen
0004B,Belconnen Way
0012A,Gungahlin Drive
0012C,Gungahlin Drive
0094C,Southern Cross Drive
0164D,Barr Smith Avenue
0307A,Kelleway Avenue
0181E,Majura Avenue
0181B,Majura Avenue
0029C,Owen Dixon Drive
0029B,Owen Dixon Drive
0002I,Antill Street
0271B,Donaldson Street
0045B,Dryandra Street
0072O,Monaro Highway
0115B,Isabella drive
0087E,Clift Crescent
0049B,Clive Steele Avenue
0142C,Sutton Road
0231A,Kings Highway
0237A,Railway Street
0243G,Majura Parkway
4000,Barton Highway / William Slim Drive Roundabout - Road Works - Northbound
4002A,Horse Park Drive Road Works
0004A,Belconnen Way
0004J,Belconnen Way
0212A,Bennelong Crescent
0155A,Charleston Street
0069B,Erindale Drive
0008B,Erindale Drive
0181D,Majura Avenue
0010B,Ginninderra Drive
0092B,Northbourne Avenue
0083A,Commonwealth Avenue
0069C,Erindale Drive
0014B,Hindmarsh Drive
0142G,Sutton Road
0014C,Hindmarsh Drive
0014D,Hindmarsh Drive
0034B,Heysen Street
0020W,Monaro Highway
